1,مرکزي,0-05-01,01,05,0,3,1
2,مرکزي,0-01-02,02,01,0,3,2
3,ساروق,0-01-03,03,01,0,3,2
4,معصوميه,0-01-04,04,01,0,3,2
5,مرکزي,0-02-01,01,02,0,3,3
6,مرکزي,0-03-02,02,03,0,3,4
7,مرکزي,0-04-01,01,04,0,3,5
8,کمره,0-04-02,02,04,0,3,5
9,مرکزي,0-07-01,01,07,0,3,6
10,مرکزي,0-06-03,03,06,0,3,7
11,نوبران,0-06-04,04,06,0,3,7
12,سربند,0-07-02,02,07,0,3,6
13,زاليان,0-07-03,03,07,0,3,6
14,قره کهريز,0-07-04,04,07,0,3,6
15,مرکزي,0-09-01,01,09,0,3,8
16,خرقان,0-10-01,01,10,0,3,9
17,مرکزي,0-10-02,02,10,0,3,9
18,مرکزي,0-11-01,01,11,0,3,10
19,ميلاجرد,0-11-02,02,11,0,3,10
20,قره چاي,0-12-01,01,12,0,3,11
21,مرکزي,0-12-02,02,12,0,3,11
22,مرکزي,0-13-01,01,13,0,3,12
23,خنجين,0-13-02,02,13,0,3,12
24,مركزئ,1-01-01,01,01,1,3,13
25,لوندويل,1-01-02,02,01,1,3,13
26,كياشهر,1-02-01,01,02,1,3,14
27,مركزئ,1-02-02,02,02,1,3,14
28,مركزئ,1-03-01,01,03,1,3,15
29,مركزئ,1-04-03,03,04,1,3,16
30,کرگان رود,1-04-04,04,04,1,3,16
31,ميرزاكوچك جنگلي,1-08-03,03,08,1,3,22
32,مركزئ,1-09-02,02,09,1,3,17
33,لشت نشاء,1-05-04,04,05,1,3,18
34,مركزئ,1-05-05,05,05,1,3,18
35,اسالم,1-04-05,05,04,1,3,16
36,حويق,1-04-06,06,04,1,3,16
37,سنگر,1-05-02,02,05,1,3,18
38,مركزئ,1-07-03,03,07,1,3,20
39,چابكسر,1-07-04,04,07,1,3,20
40,كوچصفهان,1-05-03,03,05,1,3,18
41,خشكبيجار,1-05-06,06,05,1,3,18
42,رحمت آباد و بلوکات,1-06-01,01,06,1,3,19
43,عمارلو,1-06-02,02,06,1,3,19
44,مركزئ,1-06-03,03,06,1,3,19
45,خورگام,1-06-04,04,06,1,3,19
46,رحيم آباد,1-07-02,02,07,1,3,20
47,كلاچائ,1-07-05,05,07,1,3,20
48,مرکزی,1-17-01,01,17,1,3,21
49,چوکام,1-17-02,02,17,1,3,21
50,تولم,1-08-01,01,08,1,3,22
51,مركزئ,1-08-02,02,08,1,3,22
52,سردارجنگل,1-09-03,03,09,1,3,17
53,مركزئ,1-10-01,01,10,1,3,23
54,اطاقور,1-10-02,02,10,1,3,23
55,كومله,1-10-03,03,10,1,3,23
56,مركزئ,1-11-02,02,11,1,3,24
57,مركزئ,1-14-02,02,14,1,3,28
58,ديلمان,1-15-01,01,15,1,3,25
59,مركزئ,1-15-02,02,15,1,3,25
60,مركزئ,1-16-02,02,16,1,3,29
61,رودبنه,1-11-04,04,11,1,3,24
62,احمدسرگوراب,1-12-01,01,12,1,3,26
63,مركزئ,1-12-02,02,12,1,3,26
64,رانكوه,1-13-01,01,13,1,3,27
65,مركزئ,1-13-02,02,13,1,3,27
66,پره سر,1-14-01,01,14,1,3,28
67,شاندرمن,1-16-01,01,16,1,3,29
68,لاريجان,2-01-01,01,01,2,3,30
69,مركزئ,2-01-02,02,01,2,3,30
70,دابودشت,2-01-03,03,01,2,3,30
71,امامزاده عبدالله,2-01-04,04,01,2,3,30
72,دشت سر,2-01-05,05,01,2,3,30
73,بندپي غربي,2-02-01,01,02,2,3,31
74,مركزئ,2-02-02,02,02,2,3,31
75,بندپي شرقي,2-02-03,03,02,2,3,31
76,بابل كنار,2-02-04,04,02,2,3,31
77,لاله آباد,2-02-05,05,02,2,3,31
78,گتاب,2-02-06,06,02,2,3,31
79,مركزئ,2-04-02,02,04,2,3,32
80,يانه سر,2-04-04,04,04,2,3,32
81,مركزئ,2-05-02,02,05,2,3,33
82,سرخرود,2-18-01,01,18,2,3,34
83,خرم آباد,2-05-04,04,05,2,3,33
84,کوهستان,2-05-05,05,05,2,3,33
85,نشتا,2-05-03,03,05,2,3,33
86,مركزئ,2-10-02,02,10,2,3,35
87,دودانگه,2-07-02,02,07,2,3,37
88,مركزئ,2-07-03,03,07,2,3,37
89,مركزئ,2-06-01,01,06,2,3,36
90,دالخاني,2-06-02,02,06,2,3,36
91,چهاردانگه,2-07-01,01,07,2,3,37
92,كجور,2-15-02,02,15,2,3,38
93,كليجان رستاق,2-07-05,05,07,2,3,37
94,رودپي,2-07-06,06,07,2,3,37
95,رودپي شمالي,2-07-07,07,07,2,3,37
96,مركزئ,2-08-02,02,08,2,3,39
97,زيرآب,2-08-03,03,08,2,3,39
98,بلده,2-14-01,01,14,2,3,40
99,چمستان,2-14-02,02,14,2,3,40
100,مركزئ,2-16-02,02,16,2,3,41
101,بهنمير,2-16-03,03,16,2,3,41
102,مركزئ,2-21-02,02,21,2,3,44
103,مركزئ,2-14-03,03,14,2,3,40
104,مركزئ,2-15-04,04,15,2,3,38
105,مركزئ,2-18-02,02,18,2,3,34
106,رودبست,2-16-04,04,16,2,3,41
107,مركزئ,2-19-01,01,19,2,3,42
108,هزارجريب,2-19-02,02,19,2,3,42
109,مركزئ,2-20-02,02,20,2,3,43
110,مرزن آباد,2-20-03,03,20,2,3,43
111,گيل خوران,2-21-01,01,21,2,3,44
112,مركزي,2-24-01,01,24,2,3,45
113,سلمانشهر,2-24-02,02,24,2,3,45
